"code","asahicode","pref","pref_city"
"01101",10100,"北海道","北海道札幌市中央区"
"01102",10200,"北海道","北海道札幌市北区"
"01103",10300,"北海道","北海道札幌市東区"
"01104",10400,"北海道","北海道札幌市白石区"
"01105",10500,"北海道","北海道札幌市豊平区"
"01106",10600,"北海道","北海道札幌市南区"
"01107",10700,"北海道","北海道札幌市西区"
"01108",10800,"北海道","北海道札幌市厚別区"
"01109",10900,"北海道","北海道札幌市手稲区"
"01110",11000,"北海道","北海道札幌市清田区"
"01202",20200,"北海道","北海道函館市"
"01203",20300,"北海道","北海道小樽市"
"01204",20400,"北海道","北海道旭川市"
"01205",20500,"北海道","北海道室蘭市"
"01206",20600,"北海道","北海道釧路市"
"01207",20700,"北海道","北海道帯広市"
"01208",20800,"北海道","北海道北見市"
"01209",20900,"北海道","北海道夕張市"
"01210",21000,"北海道","北海道岩見沢市"
"01211",21100,"北海道","北海道網走市"
"01212",21200,"北海道","北海道留萌市"
"01213",21300,"北海道","北海道苫小牧市"
"01214",21400,"北海道","北海道稚内市"
"01215",21500,"北海道","北海道美唄市"
"01216",21600,"北海道","北海道芦別市"
"01217",21700,"北海道","北海道江別市"
"01218",21800,"北海道","北海道赤平市"
"01219",21900,"北海道","北海道紋別市"
"01220",22000,"北海道","北海道士別市"
"01221",22100,"北海道","北海道名寄市"
"01222",22200,"北海道","北海道三笠市"
"01223",22300,"北海道","北海道根室市"
"01224",22400,"北海道","北海道千歳市"
"01225",22500,"北海道","北海道滝川市"
"01226",22600,"北海道","北海道砂川市"
"01227",22700,"北海道","北海道歌志内市"
"01228",22800,"北海道","北海道深川市"
"01229",22900,"北海道","北海道富良野市"
"01230",23000,"北海道","北海道登別市"
"01231",23100,"北海道","北海道恵庭市"
"01233",23300,"北海道","北海道伊達市"
"01234",23400,"北海道","北海道北広島市"
"01235",23500,"北海道","北海道石狩市"
"01236",23600,"北海道","北海道北斗市"
"01303",30300,"北海道","北海道当別町"
"01304",30400,"北海道","北海道新篠津村"
"01331",33100,"北海道","北海道松前町"
"01332",33200,"北海道","北海道福島町"
"01333",33300,"北海道","北海道知内町"
"01334",33400,"北海道","北海道木古内町"
"01337",33700,"北海道","北海道七飯町"
"01343",34300,"北海道","北海道鹿部町"
"01345",34500,"北海道","北海道森町"
"01346",34600,"北海道","北海道八雲町"
"01347",34700,"北海道","北海道長万部町"
"01361",36100,"北海道","北海道江差町"
"01362",36200,"北海道","北海道上ノ国町"
"01363",36300,"北海道","北海道厚沢部町"
"01364",36400,"北海道","北海道乙部町"
"01367",36700,"北海道","北海道奥尻町"
"01370",37000,"北海道","北海道今金町"
"01371",37100,"北海道","北海道せたな町"
"01391",39100,"北海道","北海道島牧村"
"01392",39200,"北海道","北海道寿都町"
"01393",39300,"北海道","北海道黒松内町"
"01394",39400,"北海道","北海道蘭越町"
"01395",39500,"北海道","北海道ニセコ町"
"01396",39600,"北海道","北海道真狩村"
"01397",39700,"北海道","北海道留寿都村"
"01398",39800,"北海道","北海道喜茂別町"
"01399",39900,"北海道","北海道京極町"
"01400",40000,"北海道","北海道倶知安町"
"01401",40100,"北海道","北海道共和町"
"01402",40200,"北海道","北海道岩内町"
"01403",40300,"北海道","北海道泊村"
"01404",40400,"北海道","北海道神恵内村"
"01405",40500,"北海道","北海道積丹町"
"01406",40600,"北海道","北海道古平町"
"01407",40700,"北海道","北海道仁木町"
"01408",40800,"北海道","北海道余市町"
"01409",40900,"北海道","北海道赤井川村"
"01423",42300,"北海道","北海道南幌町"
"01424",42400,"北海道","北海道奈井江町"
"01425",42500,"北海道","北海道上砂川町"
"01427",42700,"北海道","北海道由仁町"
"01428",42800,"北海道","北海道長沼町"
"01429",42900,"北海道","北海道栗山町"
"01430",43000,"北海道","北海道月形町"
"01431",43100,"北海道","北海道浦臼町"
"01432",43200,"北海道","北海道新十津川町"
"01433",43300,"北海道","北海道妹背牛町"
"01434",43400,"北海道","北海道秩父別町"
"01436",43600,"北海道","北海道雨竜町"
"01437",43700,"北海道","北海道北竜町"
"01438",43800,"北海道","北海道沼田町"
"01452",45200,"北海道","北海道鷹栖町"
"01453",45300,"北海道","北海道東神楽町"
"01454",45400,"北海道","北海道当麻町"
"01455",45500,"北海道","北海道比布町"
"01456",45600,"北海道","北海道愛別町"
"01457",45700,"北海道","北海道上川町"
"01458",45800,"北海道","北海道東川町"
"01459",45900,"北海道","北海道美瑛町"
"01460",46000,"北海道","北海道上富良野町"
"01461",46100,"北海道","北海道中富良野町"
"01462",46200,"北海道","北海道南富良野町"
"01463",46300,"北海道","北海道占冠村"
"01464",46400,"北海道","北海道和寒町"
"01465",46500,"北海道","北海道剣淵町"
"01468",46800,"北海道","北海道下川町"
"01469",46900,"北海道","北海道美深町"
"01470",47000,"北海道","北海道音威子府村"
"01471",47100,"北海道","北海道中川町"
"01472",47200,"北海道","北海道幌加内町"
"01481",48100,"北海道","北海道増毛町"
"01482",48200,"北海道","北海道小平町"
"01483",48300,"北海道","北海道苫前町"
"01484",48400,"北海道","北海道羽幌町"
"01485",48500,"北海道","北海道初山別村"
"01486",48600,"北海道","北海道遠別町"
"01487",48700,"北海道","北海道天塩町"
"01511",51100,"北海道","北海道猿払村"
"01512",51200,"北海道","北海道浜頓別町"
"01513",51300,"北海道","北海道中頓別町"
"01514",51400,"北海道","北海道枝幸町"
"01516",51600,"北海道","北海道豊富町"
"01517",51700,"北海道","北海道礼文町"
"01518",51800,"北海道","北海道利尻町"
"01519",51900,"北海道","北海道利尻富士町"
"01520",52000,"北海道","北海道幌延町"
"01543",54300,"北海道","北海道美幌町"
"01544",54400,"北海道","北海道津別町"
"01545",54500,"北海道","北海道斜里町"
"01546",54600,"北海道","北海道清里町"
"01547",54700,"北海道","北海道小清水町"
"01549",54900,"北海道","北海道訓子府町"
"01550",55000,"北海道","北海道置戸町"
"01552",55200,"北海道","北海道佐呂間町"
"01555",55500,"北海道","北海道遠軽町"
"01559",55900,"北海道","北海道湧別町"
"01560",56000,"北海道","北海道滝上町"
"01561",56100,"北海道","北海道興部町"
"01562",56200,"北海道","北海道西興部村"
"01563",56300,"北海道","北海道雄武町"
"01564",56400,"北海道","北海道大空町"
"01571",57100,"北海道","北海道豊浦町"
"01575",57500,"北海道","北海道壮瞥町"
"01578",57800,"北海道","北海道白老町"
"01581",58100,"北海道","北海道厚真町"
"01584",58400,"北海道","北海道洞爺湖町"
"01585",58500,"北海道","北海道安平町"
"01586",58600,"北海道","北海道むかわ町"
"01601",60100,"北海道","北海道日高町"
"01602",60200,"北海道","北海道平取町"
"01604",60400,"北海道","北海道新冠町"
"01607",60700,"北海道","北海道浦河町"
"01608",60800,"北海道","北海道様似町"
"01609",60900,"北海道","北海道えりも町"
"01610",61000,"北海道","北海道新ひだか町"
"01631",63100,"北海道","北海道音更町"
"01632",63200,"北海道","北海道士幌町"
"01633",63300,"北海道","北海道上士幌町"
"01634",63400,"北海道","北海道鹿追町"
"01635",63500,"北海道","北海道新得町"
"01636",63600,"北海道","北海道清水町"
"01637",63700,"北海道","北海道芽室町"
"01638",63800,"北海道","北海道中札内村"
"01639",63900,"北海道","北海道更別村"
"01641",64100,"北海道","北海道大樹町"
"01642",64200,"北海道","北海道広尾町"
"01643",64300,"北海道","北海道幕別町"
"01644",64400,"北海道","北海道池田町"
"01645",64500,"北海道","北海道豊頃町"
"01646",64600,"北海道","北海道本別町"
"01647",64700,"北海道","北海道足寄町"
"01648",64800,"北海道","北海道陸別町"
"01649",64900,"北海道","北海道浦幌町"
"01661",66100,"北海道","北海道釧路町"
"01662",66200,"北海道","北海道厚岸町"
"01663",66300,"北海道","北海道浜中町"
"01664",66400,"北海道","北海道標茶町"
"01665",66500,"北海道","北海道弟子屈町"
"01667",66700,"北海道","北海道鶴居村"
"01668",66800,"北海道","北海道白糠町"
"01691",69100,"北海道","北海道別海町"
"01692",69200,"北海道","北海道中標津町"
"01693",69300,"北海道","北海道標津町"
"01694",69400,"北海道","北海道羅臼町"
"02201",20100,"青森県","青森県青森市"
"02202",20200,"青森県","青森県弘前市"
"02203",20300,"青森県","青森県八戸市"
"02204",20400,"青森県","青森県黒石市"
"02205",20500,"青森県","青森県五所川原市"
"02206",20600,"青森県","青森県十和田市"
"02207",20700,"青森県","青森県三沢市"
"02208",20800,"青森県","青森県むつ市"
