"area_code","地域","A2101_住民基本台帳人口（日本人）","A210101_住民基本台帳人口（日本人）（男）","A210102_住民基本台帳人口（日本人）（女）","A2201_住民基本台帳人口（外国人）","A2301_住民基本台帳人口（総数）","A4101_出生数","A4200_死亡数","A5101_転入者数（日本人移動者）","A5102_転出者数（日本人移動者）","A5103_転入者数","A5104_転出者数","A7103_住民基本台帳世帯数（日本人）","A9101_婚姻件数","A9201_離婚件数","B1101_総面積（北方地域及び竹島を除く）","B1102_総面積（北方地域及び竹島を含む）","B1103_可住地面積","B1104_主要湖沼面積","B1105_林野面積","B1106_森林面積","B1107_森林以外の草生地面積","B1201_評価総地積（課税対象土地）","B120103_評価総地積（宅地）","C120110_課税対象所得","C120120_納税義務者数（所得割）","C120130_納税義務者数（均等割）","C2109_事業所数（国・地方公共団体）（経済センサス‐基礎調査結果）","C310201_農家数（販売農家）","C310202_農家数（自給的農家）","C3107_耕地面積","C3401_製造品出荷額等","C3403_製造業事業所数","C3404_製造業従業者数","D1202_一般行政部門職員数（市区町村）","D2201_財政力指数（市町村財政）","D2202_実質収支比率（市町村財政）","D2203_経常収支比率（市町村財政）","D2205_基準財政収入額（市町村財政）","D2206_基準財政需要額（市町村財政）","D2209_一般財源（市町村財政）","D2210_投資的経費（市町村財政）","D2211_実質公債費比率（市町村財政）","D2212_将来負担比率（市町村財政）","D2213_標準財政規模（市町村財政）","D2214_実質赤字比率（市町村財政）","D2215_連結実質赤字比率（市町村財政）","D3201_歳入決算総額（市町村財政）","D320101_地方税（市町村財政）","D320102_地方譲与税（市町村財政）","D320103_利子割交付金（市町村財政）","D320104_ゴルフ場利用税交付金（市町村財政）","D320105_特別地方消費税交付金（市町村財政）","D320106_自動車取得税交付金（市町村財政）","D320107_軽油引取税交付金（市町村財政）","D320108_地方交付税（市町村財政）","D320109_交通安全対策特別交付金（市町村財政）","D320110_分担金及び負担金（市町村財政）","D320111_使用料（市町村財政）","D320113_国庫支出金（市町村財政）","D320115_県支出金（市町村財政）","D320116_財産収入（市町村財政）","D320117_寄附金（市町村財政）","D320118_繰入金（市町村財政）","D320119_繰越金（市町村財政）","D320120_諸収入（市町村財政）","D320121_地方債（市町村財政）","D320122_地方特例交付金（市町村財政）","D3202_自主財源額（市町村財政）","D3203_歳出決算総額（市町村財政）","D320301_議会費（市町村財政）","D320302_総務費（市町村財政）","D320303_民生費（市町村財政）","D3203031_社会福祉費（市町村財政）","D3203032_老人福祉費（市町村財政）","D3203033_児童福祉費（市町村財政）","D3203034_生活保護費（市町村財政）","D3203035_災害救助費（市町村財政）","D320304_衛生費（市町村財政）","D3203042_保健衛生費（市町村財政）","D3203043_保健所費（市町村財政）","D3203044_清掃費（市町村財政）","D320305_労働費（市町村財政）","D3203051_失業対策費（市町村財政）","D320306_農林水産業費（市町村財政）","D320307_商工費（市町村財政）","D320308_土木費（市町村財政）","D3203082_道路橋りょう費（市町村財政）","D3203085_都市計画費（市町村財政）","D3203086_住宅費（市町村財政）","D320309_消防費（市町村財政）","D320310_教育費（市町村財政）","D3203102_小学校費（市町村財政）","D3203103_中学校費（市町村財政）","D3203104_高等学校費（市町村財政）","D3203105_特別支援学校費（市町村財政）","D3203106_幼稚園費（市町村財政）","D3203107_社会教育費（市町村財政）","D3203108_保健体育費（市町村財政）","D320311_災害復旧費（市町村財政）","D320312_公債費（市町村財政）（目的別歳出内訳）","D320401_人件費（市町村財政）","D320402_物件費（市町村財政）","D320403_維持補修費（市町村財政）","D320404_扶助費（市町村財政）","D320405_補助費等（市町村財政）","D320406_普通建設事業費（市町村財政）","D320407_災害復旧事業費（市町村財政）","D320408_失業対策事業費（市町村財政）","D320409_公債費（市町村財政）（性質別歳出内訳）","D320410_積立金（市町村財政）","D320411_投資及び出資金（市町村財政）","D320412_貸付金（市町村財政）","D3205_地方債現在高（市町村財政）","D420102_市町村民税","D420202_固定資産税（市町村税）","E1101_幼稚園数","E1501_幼稚園在園者数","E2101_小学校数","E2401_小学校教員数","E2501_小学校児童数","E3101_中学校数","E3401_中学校教員数","E3501_中学校生徒数","E3901_義務教育学校数","E3902_義務教育学校前期課程学級数","E3903_義務教育学校後期課程学級数","E3904_義務教育学校教員数","E3905_義務教育学校前期課程児童数","E3906_義務教育学校後期課程生徒数","E4101_高等学校数","E4501_高等学校生徒数","F1101_労働力人口","F110101_労働力人口（男）","F110102_労働力人口（女）","F1102_就業者数","F110201_就業者数（男）","F110202_就業者数（女）","F1103_就業者数・主に仕事","F1104_就業者数・家事のほか仕事","F1105_就業者数・通学のかたわら仕事","F1106_就業者数・休業者","F1107_完全失業者数","F110701_完全失業者数（男）","F110702_完全失業者数（女）","F1108_非労働力人口","F110801_非労働力人口（男）","F110802_非労働力人口（女）","F1109_非労働力人口・家事","F1110_非労働力人口・通学","F1111_非労働力人口・その他","F2116_就業者数（65歳以上）","F2201_第1次産業就業者数","F2211_第2次産業就業者数","F2221_第3次産業就業者数","F2401_雇用者数（国勢調査結果）","F2402_役員数","F2403_雇人のある業主数","F2404_雇人のない業主数","F2405_家族従業者数（国勢調査結果）","F2406_自営業主及び家族従業者数","F2409_雇用者数（正規の職員・従業員）","F2410_雇用者数（労働者派遣事業所の派遣社員）","F2411_雇用者数（パート・アルバイト・その他）","F2701_自市区町村で従業している就業者数","F270101_自市区町村で従業している就業者数（男）","F270102_自市区町村で従業している就業者数（女）","F2702_県内他市区町村で従業している就業者数","F270201_県内他市区町村で従業している就業者数（男）","F270202_県内他市区町村で従業している就業者数（女）","F2703_他県で従業している就業者数","F270301_他県で従業している就業者数（男）","F270302_他県で従業している就業者数（女）","F2705_他市区町村への通勤者数","F270501_他市区町村への通勤者数（男）","F270502_他市区町村への通勤者数（女）","F2801_従業地による就業者数","F2802_他県に常住している就業者数","F2803_他市区町村からの通勤者数","G1201_公民館数","G1401_図書館数","H1800_着工新設住宅戸数","H1801_着工新設持家数","H1802_着工新設貸家数","H1803_着工新設分譲住宅数","H1804_着工新設給与住宅数","H1810_着工新設持家・分譲住宅数","H2500_着工居住用建築物床面積","H2600_着工新設住宅床面積","H2601_着工新設持家床面積","H2602_着工新設分譲住宅床面積","H2603_着工新設貸家床面積","H2604_着工新設給与住宅床面積","H5507_総人口（非水洗化人口＋水洗化人口）","H550701_非水洗化人口","H5508_水洗化率（浄化槽人口）","H5509_し尿処理量（し尿＋浄化槽汚泥＋自家処理量）","H5608_ごみ計画収集人口","H5609_ごみ総排出量（総量）","H560901_ごみ総排出量（計画収集量）","H560902_ごみ総排出量（直接搬入量）","H560903_ごみ総排出量（自家処理量）","H560904_ごみ総排出量（集団回収量）","H5610_1人1日当たりの排出量","H5612_ごみ処理量（総量）","H561201_ごみ処理量（直接資源化）","H5613_中間処理後再生利用量","H5614_ごみのリサイクル率","H5615_最終処分量","H7207_軽自動車等台数","H7208_二輪の小型自動車台数","H7209_原動機付自転車台数","H720901_原動機付自転車台数（50ｃｃ以下）","H720902_原動機付自転車台数（50ｃｃ超90ｃｃ以下）","H720903_原動機付自転車台数（90ｃｃ超）","H720904_原動機付自転車台数（ミニカー）","H7210_軽自動車及び小型特殊自動車台数","H721001_二輪車台数（側車付のものを含む）","H721002_三輪車台数","H7701_テレビ放送受信契約数","H770101_衛星放送受信契約数","H8101_都市計画区域指定面積","H8102_市街化調整区域面積","H8103_市街化区域面積","H8104_用途地域面積","H810401_住居専用地域面積","H810402_住居地域面積","H810403_近隣商業地域面積","H810404_商業地域面積","H810405_準工業地域面積","H810406_工業地域面積","H810407_工業専用地域面積","H810408_商業・近隣商業地域面積","H810409_工業・準工業地域面積","I5101_病院数","I510110_精神科病院数","I510120_一般病院数","I510150_療養病床を有する病院数","I5102_一般診療所数","I510201_有床一般診療所数","I5103_歯科診療所数","I5211_病院病床数","I5212_一般診療所病床数","I5511_介護老人保健施設数（基本票）","I5512_介護老人保健施設定員数（基本票）","J2221_保護施設数（基本票）（医療保護施設を除く）","J230127_介護老人福祉施設数（基本票）","J230128_介護老人福祉施設定員数（基本票）","J2304_老人福祉施設数（基本票）","J230411_養護老人ホーム数（基本票）","J230412_養護老人ホーム定員数（基本票）","J230421_有料老人ホーム数（基本票）","J230422_有料老人ホーム定員数（基本票）","J230431_軽費老人ホーム数（基本票）","J230432_軽費老人ホーム定員数（基本票）","J250204_児童福祉施設等数（基本票）","J250302_保育所等数（基本票）","J250303_公営保育所等数（基本票）","J2804_母子・父子福祉施設数（基本票）","J2905_障害者支援施設等数（基本票）","J2906_婦人保護施設数（基本票）","J4101_国民健康保険被保険者数"
"01100","北海道 札幌市",1944357,907910,1036447,14956,1959313,12741,19778,117964,108578,120846,111034,1056534,10117,3845,112126,112126,43898,0,68247,67870,377,333013042,139350357,2838809167,890260,933653,840,347,280,2600,589606,888,28120,7352,0.73,1.5,95.3,288401791,396528684,458776706,100511023,2.1,49.7,516149477,0,0,1004028030,338947135,5361471,189862,94112,0,571414,7475464,110868949,616259,3631626,11522417,236221154,52977136,7883569,1205225,4280230,5569573,75787483,88543000,3599151,458214928,992751320,1851187,48095293,432093082,117225163,62195835,117736793,134922446,12845,52592776,28037078,2642910,21647369,585633,0,733882,64792501,122819403,52948903,49035916,16692243,18024055,150836898,67213623,34246285,5543859,2472878,1159032,9192914,16823887,6541146,86326183,163552507,92876959,28829548,319167434,61537300,93969877,6541146,0,85868832,4158420,2787911,60995819,1083759763,172625839,115301440,110,18529,203,4987,90307,107,2982,44540,0,0,0,0,0,0,52,44270,887222,469316,417906,845953,445866,400087,701322,100891,20969,22771,41269,23450,17819,576925,192964,383961,216395,79227,281303,110219,3983,115924,697967,715081,50060,10788,43405,9017,63210,451236,23422,240423,401356,189715,211641,410015,236888,173127,1745,1504,241,411760,238392,173368,845176,994,410983,1,12,15914,3802,8610,3470,32,7272,1332129,1243742,466000,334266,439921,3555,1958774,6091,0.1,16895,1958774,621493,528875,47228,0,45390,867,580457,0,116907,25.9,65594,312540,17980,22176,15522,1860,4294,500,272384,14863,6,675694,338279,56795,31778,25017,25017,12624,6060,2631,831,2265,368,238,3462,2633,202,24,178,65,1378,141,1222,36603,2041,49,4435,4,76,6231,39,4,330,332,13895,25,1500,606,325,20,2,85,1,363360
"01101","北海道 札幌市 中央区",235291,106345,128946,2907,238198,1560,2177,20954,17829,21450,18354,141779,1650,567,4642,4642,2685,0,2039,2038,1,NA,NA,NA,NA,NA,178,6,4,NA,21364,85,1651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1677,16,491,9719,10,278,4233,0,0,0,0,0,0,8,6305,108811,55680,53131,103712,53061,50651,87939,10761,2247,2765,5099,2619,2480,65511,19947,45564,25490,9619,30402,11983,303,8534,91594,83738,8752,2156,5865,1187,9208,56651,3074,24013,72836,35636,37200,27474,15577,11897,260,196,64,27734,15773,11961,247017,466,171039,0,2,3062,186,1627,1226,23,1412,276342,225817,30450,108052,85585,1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109418,67705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4,35,10,371,26,285,8590,264,5,491,0,6,513,4,2,130,43,2342,1,100,80,38,1,2,12,0,NA
"01102","北海道 札幌市 北区",282677,134087,148590,3509,286186,1741,2767,15012,14172,15603,14744,150087,1239,535,6357,6357,6319,0,38,37,1,NA,NA,NA,NA,NA,113,64,44,NA,20408,70,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2686,32,773,14734,17,500,7504,0,0,0,0,0,0,9,7819,129525,69571,59954,123763,66231,57532,99838,15243,5263,3419,5762,3340,2422,84686,29534,55152,31115,15314,38257,16224,674,19376,99453,104001,7249,1634,6683,1516,9833,63664,3052,37285,58312,28001,30311,60098,35221,24877,170,136,34,60268,35357,24911,106793,141,43298,0,1,2366,723,1164,479,0,1202,196685,186610,86352,45399,54859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97390,48271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,19,8,183,19,165,3561,268,7,540,0,10,812,4,0,0,42,1708,3,180,94,55,4,0,12,0,NA
"01103","北海道 札幌市 東区",259939,123401,136538,1983,261922,1897,2567,14724,14150,15165,14505,141597,1484,547,5697,5697,5696,0,4,3,1,NA,NA,NA,NA,NA,94,73,43,NA,117476,191,5268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2014,28,669,12087,15,400,5952,0,0,0,0,0,0,6,5661,119693,63802,55891,114138,60636,53502,95158,13212,2714,3054,5555,3166,2389,73700,24959,48741,26597,10099,37004,14580,545,18169,91495,96891,6461,1247,5855,1188,8290,61140,3129,32622,57099,27694,29405,52238,30194,22044,220,201,19,52458,30395,22063,102043,78,40363,0,1,1784,521,802,461,0,982,157298,150665,62737,48513,39415,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83432,37353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2,22,3,133,22,138,3641,338,6,555,1,8,660,4,0,0,65,1928,3,170,84,50,2,0,11,0,NA
"01104","北海道 札幌市 白石区",211964,100572,111392,1247,213211,1704,2127,13978,13211,14336,13394,122213,1510,523,3447,3447,3441,0,6,0,6,NA,NA,NA,NA,NA,69,20,28,NA,125416,184,6371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1640,20,499,8692,8,264,4229,0,0,0,0,0,0,3,2389,98989,52181,46808,93965,49385,44580,79797,9851,1692,2625,5024,2796,2228,55053,18114,36939,20278,6583,28192,10708,344,14815,75576,80494,4924,998,4635,878,6511,51767,3020,25707,43015,21426,21589,47021,25776,21245,159,138,21,47180,25914,21266,90687,67,43902,0,1,1864,322,1212,329,1,651,140504,138055,39311,34167,64133,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67502,29423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,18,6,115,10,109,3683,133,4,380,3,8,653,4,0,0,29,1197,3,170,74,44,5,0,13,0,NA
"01105","北海道 札幌市 豊平区",221862,102582,119280,1700,223562,1657,2191,16303,14835,16585,15122,126948,1490,420,4623,4623,2624,0,1839,1702,137,NA,NA,NA,NA,NA,75,10,17,NA,22773,38,1189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3232,22,546,9805,11,306,4437,0,0,0,0,0,0,6,6645,105210,54293,50917,99943,51437,48506,84123,10751,2394,2675,5267,2856,2411,61622,20254,41368,23352,8543,29727,11403,356,10856,85662,85817,5286,1161,4933,944,7038,55480,3229,27108,37796,17485,20311,58369,31895,26474,205,185,20,58574,32080,26494,66478,73,25109,1,1,2193,357,1494,339,3,696,157279,154867,43732,34539,76225,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72913,36899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,13,6,140,14,131,2476,231,5,445,0,9,690,4,0,0,48,1989,3,140,71,32,3,0,6,0,NA
"01106","北海道 札幌市 南区",135844,63015,72829,714,136558,622,1767,7166,7094,7312,7269,72045,420,223,65748,65748,11376,0,54461,54357,104,NA,NA,NA,NA,NA,75,91,60,NA,3618,21,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1308,20,375,5817,10,222,2854,0,0,0,0,0,0,6,4223,59021,31921,27100,56155,30200,25955,45445,7830,1178,1702,2866,1721,1145,46995,16144,30851,17651,5189,24155,9967,464,6196,47356,46457,3355,749,3364,723,4836,27672,1458,17327,27512,13172,14340,25778,15442,10336,132,114,18,25910,15556,10354,41729,32,11484,0,1,608,323,226,59,0,382,58024,55432,38361,6216,10855,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50979,25651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3,13,5,78,9,70,2846,153,5,476,0,6,600,5,1,100,37,1611,3,250,36,16,0,0,9,0,NA
"01107","北海道 札幌市 西区",215971,99745,116226,1022,216993,1607,2184,13229,10926,13431,11083,114873,1155,385,7510,7510,2864,0,4487,4486,1,NA,NA,NA,NA,NA,77,14,19,NA,162941,180,6519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2245,20,530,10040,10,327,5205,0,0,0,0,0,0,3,2589,99509,52243,47266,95218,49759,45459,79802,11124,1695,2597,4291,2484,1807,62836,20567,42269,25223,7641,29972,12342,354,13042,78704,81143,5289,1152,4715,993,6860,52840,2443,25860,41345,18822,22523,49885,28762,21123,203,176,27,50088,28938,21150,73995,43,28865,0,2,1889,501,1113,272,3,773,157614,149316,62491,25382,60698,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70452,33869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,21,7,133,14,131,3516,206,6,547,0,6,521,4,0,0,30,1491,3,130,70,38,2,0,13,1,NA
"01108","北海道 札幌市 厚別区",126510,58027,68483,732,127242,651,1320,6384,6217,6532,6270,64940,452,181,2438,2438,2314,0,157,89,68,NA,NA,NA,NA,NA,56,19,30,NA,51454,27,2145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,717,14,336,5598,9,218,2913,0,0,0,0,0,0,4,3477,55096,29021,26075,52579,27527,25052,43163,6923,1176,1317,2517,1494,1023,42918,14480,28438,16264,4962,21692,7288,308,6864,43821,45978,2608,493,2175,414,3082,27709,1521,16748,19858,8469,11389,30983,18110,12873,114,95,19,31097,18205,12892,42637,40,21155,0,1,876,195,542,138,1,333,66354,63525,23952,14214,25306,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44015,23224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,16,6,87,9,60,2614,153,4,400,0,8,654,2,0,0,14,625,1,50,29,20,1,0,2,0,NA
"01109","北海道 札幌市 手稲区",141413,66547,74866,553,141966,765,1529,6143,5627,6270,5726,69215,429,266,5677,5677,3569,0,2175,2171,4,NA,NA,NA,NA,NA,59,28,11,NA,48773,77,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1743,16,404,7338,9,245,3600,0,0,0,0,0,0,3,2650,62105,33664,28441,59276,31965,27311,48320,8082,1411,1463,2829,1699,1130,47650,16552,31098,17021,6105,24524,8602,288,10757,46272,50876,3022,608,2854,619,4081,30712,1425,18739,24864,10851,14013,31872,19669,12203,135,124,11,32007,19793,12214,40497,24,13228,0,1,815,430,283,102,0,532,76113,75128,49062,10746,15320,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46201,19201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,12,8,81,12,74,3611,198,4,336,0,7,570,5,1,100,11,481,3,210,40,19,1,0,2,0,NA
