"year","code","pref_city","有権者数","投票者数","井上得票","自民得票計","自民_党_の得票"
2019,"01101","北海道札幌市中央区",206477,108673,144,34913.929,26034
2019,"01102","北海道札幌市北区",242228,129134,124.67,36727.58,27892
2019,"01103","北海道札幌市東区",223924,115008,103.275,33332.317,25563
2019,"01104","北海道札幌市白石区",184667,91135,88.031,25625.364,19861.086
2019,"01105","北海道札幌市豊平区",193660,102399,104,31791.918,24336
2019,"01106","北海道札幌市南区",120321,70310,66,22942.831,17627
2019,"01107","北海道札幌市西区",186051,102875,107.775,31236.302,23973
2019,"01108","北海道札幌市厚別区",110811,66319,55.544,18853.532,14533
2019,"01109","北海道札幌市手稲区",120643,68157,89.833,19044.874,14863
2019,"01110","北海道札幌市清田区",95403,55445,36,16523.953,13120
2019,"01202","北海道函館市",226439,109161,161.259,31775.567,23048.174
2019,"01203","北海道小樽市",102882,53555,63.69,14423.875,9873
2019,"01204","北海道旭川市",291348,137808,129.33,41141.604,28907
2019,"01205","北海道室蘭市",73678,38418,23,10101.073,7192
2019,"01206","北海道釧路市",147457,70582,123.275,19226.924,12672
2019,"01207","北海道帯広市",143405,69773,98.141,20831.876,12504
2019,"01208","北海道北見市",101912,50418,37,16047.444,11472
2019,"01209","北海道夕張市",7420,4487,3,1062.627,699
2019,"01210","北海道岩見沢市",71106,37644,20.652,10722.064,7422
2019,"01211","北海道網走市",30826,16284,3,5299.033,3764
2019,"01212","北海道留萌市",18754,10331,49.431,3994.586,2556
2019,"01213","北海道苫小牧市",145356,70085,23,18465.439,13522
2019,"01214","北海道稚内市",29503,15180,66.846,5478.754,3895
2019,"01215","北海道美唄市",19312,10991,7.388,3488.317,2453
2019,"01216","北海道芦別市",12320,7226,1,2106.958,1443
2019,"01217","北海道江別市",102441,58045,69,16006.758,11801
2019,"01218","北海道赤平市",9179,5249,4,1381.58,927
2019,"01219","北海道紋別市",19097,10107,42.792,3328.791,2359
2019,"01220","北海道士別市",16598,9758,5.5,3143.542,2221
2019,"01221","北海道名寄市",23953,14186,10.666,5645.703,4150
2019,"01222","北海道三笠市",7513,4442,1.285,1126.384,746
2019,"01223","北海道根室市",22402,11346,39.866,3680.519,2812
2019,"01224","北海道千歳市",81538,41339,34,18781.288,14010
2019,"01225","北海道滝川市",35214,18383,18,5767.094,3908
2019,"01226","北海道砂川市",15065,8985,3.272,2245.272,1678
2019,"01227","北海道歌志内市",3008,1963,0,486.062,375
2019,"01228","北海道深川市",18422,10200,7,3219.806,1970
2019,"01229","北海道富良野市",18730,9782,4,3458.83,2413
2019,"01230","北海道登別市",41765,21314,12,5833.934,4252
2019,"01231","北海道恵庭市",58997,33087,36.72,13561.266,10320
2019,"01233","北海道伊達市",29649,15612,7,4325.661,2981
2019,"01234","北海道北広島市",49965,28815,20.781,8160.588,6201
2019,"01235","北海道石狩市",49250,25421,17.515,7065.049,5246
2019,"01236","北海道北斗市",39003,18910,16,6073.974,4631
2019,"01303","北海道当別町",14250,8599,3,3024.999,2298
2019,"01304","北海道新篠津村",2690,1862,0,910.999,558
2019,"01331","北海道松前町",6567,3894,6,1744.062,1054
2019,"01332","北海道福島町",3708,2152,1,967.999,626
2019,"01333","北海道知内町",3851,2264,4,889.666,534
2019,"01334","北海道木古内町",3799,2250,0,913.922,600
2019,"01337","北海道七飯町",24132,12694,13,3622.502,2737
2019,"01343","北海道鹿部町",3386,1963,10,802.111,619
2019,"01345","北海道森町",13331,7095,2,2772.678,2207
2019,"01346","北海道八雲町",14372,8035,3.428,2793.478,2072
2019,"01347","北海道長万部町",4643,2981,0,1036.908,741
2019,"01361","北海道江差町",6943,4931,4,1705.975,1246
2019,"01362","北海道上ノ国町",4265,2564,26.727,1149.639,703
2019,"01363","北海道厚沢部町",3382,2295,8,1052,591
2019,"01364","北海道乙部町",3270,2215,0,882.385,475
2019,"01367","北海道奥尻町",2399,1657,3,830.129,597
2019,"01370","北海道今金町",4669,2859,11.846,1090.872,715
2019,"01371","北海道せたな町",7121,4851,4.571,2060.645,1431
2019,"01391","北海道島牧村",1329,888,0,349,218
2019,"01392","北海道寿都町",2613,1516,1,651,384
2019,"01393","北海道黒松内町",2447,1670,0,644.267,380
2019,"01394","北海道蘭越町",4088,2926,0,1149.999,689
2019,"01395","北海道ニセコ町",4014,2555,5,865.005,587
2019,"01396","北海道真狩村",1763,1239,0,512.024,361
2019,"01397","北海道留寿都村",1514,895,0,410.999,263
2019,"01398","北海道喜茂別町",1897,1225,2,430.947,291
2019,"01399","北海道京極町",2551,1763,0,771,542
2019,"01400","北海道倶知安町",12413,7163,2,2628.294,1943
2019,"01401","北海道共和町",5123,3247,9,1259.153,814
2019,"01402","北海道岩内町",10990,6235,46,2163.819,1353
2019,"01403","北海道泊村",1451,1023,3,433.5,226
2019,"01404","北海道神恵内村",771,570,3,269.912,109
2019,"01405","北海道積丹町",1833,1125,2,550.999,325
2019,"01406","北海道古平町",2742,1532,1,598.618,336
2019,"01407","北海道仁木町",2852,1755,2,667,439
2019,"01408","北海道余市町",16414,8554,1,2894.951,2132
2019,"01409","北海道赤井川村",943,661,0,208,122
2019,"01423","北海道南幌町",6686,3934,2,1259.696,944
2019,"01424","北海道奈井江町",4798,2976,0,900.799,624
2019,"01425","北海道上砂川町",2697,1651,0,382.062,292
2019,"01427","北海道由仁町",4559,3139,0,1095.856,689
2019,"01428","北海道長沼町",9515,5592,1,2148.856,1557
2019,"01429","北海道栗山町",10343,6265,2,1933.929,1370
2019,"01430","北海道月形町",2928,1915,0,642.259,441
2019,"01431","北海道浦臼町",1612,1019,0,389,254
2019,"01432","北海道新十津川町",5710,3768,2,1497.203,892
2019,"01433","北海道妹背牛町",2630,1738,3,740,518
2019,"01434","北海道秩父別町",2153,1462,0,635,416
2019,"01436","北海道雨竜町",2119,1516,0,611,314
2019,"01437","北海道北竜町",1649,1207,2,448,263
2019,"01438","北海道沼田町",2773,1995,3,756.87,468
2019,"01452","北海道鷹栖町",5774,3246,1,1041.999,717
2019,"01453","北海道東神楽町",8408,4659,5.714,1389.713,933
2019,"01454","北海道当麻町",5656,3224,2,997.959,638
2019,"01455","北海道比布町",3292,2081,0,728.033,465
2019,"01456","北海道愛別町",2416,1659,1.5,606.499,394
2019,"01457","北海道上川町",3162,2060,1.5,593.499,303
2019,"01458","北海道東川町",6724,3931,3,1160.053,792
2019,"01459","北海道美瑛町",8748,5081,1,1522.017,1101
2019,"01460","北海道上富良野町",9198,5320,5,2684.027,2019
2019,"01461","北海道中富良野町",4195,2653,0,1139,838
2019,"01462","北海道南富良野町",2177,1467,0,493,304
2019,"01463","北海道占冠村",1021,698,0,184,125
2019,"01464","北海道和寒町",2940,2144,0,763.999,510
2019,"01465","北海道剣淵町",2736,1884,0,630.999,370
2019,"01468","北海道下川町",2904,1967,0,724.932,457
2019,"01469","北海道美深町",3866,2581,1,967.025,561
2019,"01470","北海道音威子府村",587,464,0,135,83
2019,"01471","北海道中川町",1350,953,0,347.999,175
2019,"01472","北海道幌加内町",1303,930,0,418,248
2019,"01481","北海道増毛町",3783,2399,5.6,876.575,524
2019,"01482","北海道小平町",2789,2020,0,870.999,430
2019,"01483","北海道苫前町",2707,1843,0,801.999,463
2019,"01484","北海道羽幌町",6120,3946,2,1493,931
2019,"01485","北海道初山別村",1064,826,1,401.999,133
2019,"01486","北海道遠別町",2324,1537,0,604.999,334
2019,"01487","北海道天塩町",2664,1833,6,804,418
2019,"01511","北海道猿払村",2192,1445,0,682.999,478
2019,"01512","北海道浜頓別町",3126,2103,22,825.999,437
2019,"01513","北海道中頓別町",1534,1039,0,465.999,283
2019,"01514","北海道枝幸町",7006,4151,16,1771.994,1152
2019,"01516","北海道豊富町",3394,2184,0,856.999,554
2019,"01517","北海道礼文町",2207,1614,7,858.999,602
2019,"01518","北海道利尻町",1806,1504,6,682,466
2019,"01519","北海道利尻富士町",2126,1773,28,995,758
2019,"01520","北海道幌延町",1989,1338,0,653,413
2019,"01543","北海道美幌町",17006,9525,12,3578.133,2370
2019,"01544","北海道津別町",4222,2415,1,820.099,535
2019,"01545","北海道斜里町",9842,5733,2,2120.048,1239
2019,"01546","北海道清里町",3503,2383,0,916.999,571
2019,"01547","北海道小清水町",4169,2467,3,861.061,518
2019,"01549","北海道訓子府町",4283,2526,1,861.999,602
2019,"01550","北海道置戸町",2562,1746,0,589,358
2019,"01552","北海道佐呂間町",4356,2772,1,1165,787
2019,"01555","北海道遠軽町",17347,10873,18,4021.633,2803
2019,"01559","北海道湧別町",7561,4924,10,2064.375,1405
2019,"01560","北海道滝上町",2342,1654,0,591,333
2019,"01561","北海道興部町",3240,1925,1,765.98,494
2019,"01562","北海道西興部村",983,742,0,255,145
2019,"01563","北海道雄武町",3696,2209,0,837.96,564
2019,"01564","北海道大空町",6149,3673,2,1364.058,928
2019,"01571","北海道豊浦町",3418,1931,1,702.049,549
2019,"01575","北海道壮瞥町",2157,1318,0,480,300
2019,"01578","北海道白老町",15102,8439,29.805,2628.332,1775
2019,"01581","北海道厚真町",3880,2593,2.5,923.499,636
2019,"01584","北海道洞爺湖町",7764,4526,1.333,1423.343,977
2019,"01585","北海道安平町",6913,4257,1,1656.864,1001
2019,"01586","北海道むかわ町",7057,4322,1.25,1486.263,995
2019,"01601","北海道日高町",10280,6158,3,2122.169,1559
2019,"01602","北海道平取町",4266,2816,1.5,1014.499,678
2019,"01604","北海道新冠町",4595,2940,0,1052.342,788
2019,"01607","北海道浦河町",10644,6609,13,2354.756,1379
2019,"01608","北海道様似町",3804,2492,13.866,1036.782,571
2019,"01609","北海道えりも町",3982,2590,1,1007,728
2019,"01610","北海道新ひだか町",19458,11430,20.689,4088.655,2903
2019,"01631","北海道音更町",37113,19770,10,6207.181,4385
